population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,approx_ng,ul.for.500.ng,max.,ul.water.for.50.ul,approx_final_conc,approx_vol_100,cell_name,plate_num,row_name,col_name
MC,23,F,MC_F1_F23,507.99,426.0,2,42.6,852.0,11.7370892,no,38.2629108,10.0,10.0,1_F4,1,F,4
MC,15,F,MC_F15_F1_feb21,171.16,284.0,2,28.4,568.0,17.6056338,no,32.3943662,10.0,10.0,1_F5,1,F,5
AFC,71,F1,AFC-71-3-F1,550.46,NA,1,67.1,1342.0,7.451564829,no,42.54843517,10.0,10.0,1_F6,1,F,6
AFC,55,F1,AFC-55-4-F1,312.26,431.0,2,43.1,862.0,11.60092807,no,38.39907193,10.0,10.0,1_F7,1,F,7
AFC,8,F1,AFC-8-2-F1,354.06,304.0,2,30.4,608.0,16.44736842,no,33.55263158,10.0,10.0,1_F8,1,F,8
AFC,56,F1,AFC-56-1-F1,298.22,349.0,2,34.9,698.0,14.32664756,no,35.67335244,10.0,10.0,1_F9,1,F,9
MC,13,L,MC-L13-4,305.8,398.0,2,39.8,796.0,12.56281407,no,37.43718593,10.0,10.0,1_F10,1,F,10
MC,1,F,MC_F1_F1_feb21,419.7,374.0,2,37.4,748.0,13.36898396,no,36.63101604,10.0,10.0,1_F11,1,F,11
AFC,7,F1,AFC-7-4-F1,561.51,386.0,2,38.6,772.0,12.95336788,no,37.04663212,10.0,10.0,1_F12,1,F,12
AFC,56,L,AFC-L56-3,270.64,329.0,2,32.9,658.0,15.19756839,no,34.80243161,10.0,10.0,1_G1,1,G,1
AFC,48,L,AFC_F1_L48-3,286.59,361.0,2,36.1,722.0,13.85041551,no,36.14958449,10.0,10.0,1_G2,1,G,2
MC,11,F,MC_F11_F1_feb21,237.38,355.0,2,35.5,710.0,14.08450704,no,35.91549296,10.0,10.0,1_G3,1,G,3
MC,20,F1,MC-20-3-F1,274.82,111.0,2,11.1,222.0,45.04504505,yes,determine,4.44,22.52252252,1_G4,1,G,4
AFC,59,F1,AFC-59-2-F1,154.87,199.0,2,19.9,398.0,25.12562814,yes,determine,7.96,12.56281407,1_G5,1,G,5
AFC,3,F1,AFC-3-3-F1,383.35,236.0,2,23.6,472.0,21.18644068,no,28.81355932,10.0,10.0,1_G6,1,G,6
AFC,28,F1,AFC-28-3-F1,388.14,428.0,2,42.8,856.0,11.68224299,no,38.31775701,10.0,10.0,1_G7,1,G,7
VY,VY,L,VY-L6,191.17,156.0,2,15.6,312.0,32.05128205,yes,determine,6.24,16.02564103,1_G8,1,G,8
MC,1,M,MC-M01-F1-feb16,101.9,135.0,2,13.5,270.0,37.03703704,yes,determine,5.4,18.51851852,1_G9,1,G,9
AFC,24,L,AFC_F1_L24-1,185.42,530.0,2,53.0,1060.0,9.433962264,no,40.56603774,10.0,10.0,1_G10,1,G,10
AFC,2,F1,AFC-2-4-F1,323.93,348.0,2,34.8,696.0,14.36781609,no,35.63218391,10.0,10.0,1_G11,1,G,11
MC,5,F,MC_F5_F1_feb21,311.68,207.0,2,20.7,414.0,24.15458937,no,25.84541063,10.0,10.0,1_G12,1,G,12
MC,15,L,MC-L15-3,376.11,436.0,2,43.6,872.0,11.46788991,no,38.53211009,10.0,10.0,1_H1,1,H,1
MC,6,F,MC_F6_F1_feb21,243.96,322.0,2,32.2,644.0,15.52795031,no,34.47204969,10.0,10.0,1_H2,1,H,2
