sample_id,date,ng_ul,a260,a280,r260.280,r260.230,a340_raw,extraction_date
AFC-13-4-F1,12/6/2016,383.63,7.673,3.822,2.01,2.45,5.372,06-Dec
AFC-3-3-F1,12/6/2016,383.35,7.667,3.552,2.16,2.3,0.2,19-Oct
AFC-70-1-F1,12/6/2016,374.79,7.496,3.521,2.13,1.84,0.396,18-Oct
AFC-66-3-F1,12/6/2016,355.52,7.11,3.259,2.18,2.68,0.29,06-Dec
AFC-51-3-F1,12/6/2016,333.82,6.676,2.987,2.24,3.17,0.148,06-Dec
AFC-55-1-F1,12/6/2016,312.52,6.25,2.934,2.13,2.18,0.223,18-Oct
AFC-27-3-F1,12/6/2016,284.54,5.691,2.687,2.12,3.37,0.122,06-Dec
AFC-27-4-F1,12/6/2016,243.02,4.86,2.3,2.11,4.28,0.111,06-Dec
AFC-55-2-F1,12/6/2016,238.06,4.761,2.21,2.15,1.98,0.361,18-Oct
AFC-15-3-F1,12/6/2016,195.94,3.919,1.887,2.08,3.95,0.134,06-Dec
AFC-5-2-F1,12/6/2016,192.67,3.853,1.803,2.14,2.24,0.088,19-Oct
AFC-66-1-F1,12/6/2016,187.25,3.745,1.806,2.07,1.55,0.398,18-Oct
AFC-03-4-F1,12/6/2016,182.71,3.654,1.708,2.14,4.22,0.094,06-Dec
AFC-64-1-F1,12/6/2016,178.11,3.562,1.695,2.1,1.91,0.19,18-Oct
AFC-42-1-F1,12/6/2016,165.22,3.304,1.579,2.09,2.37,0.065,18-Oct
AFC-63-1-F1,12/6/2016,164.83,3.297,1.554,2.12,1.89,0.139,28-Sep
AFC-13-2-F1,12/6/2016,158.27,3.165,1.655,1.91,1.1,0.745,19-Oct
AFC-27-2-F1,12/6/2016,140.41,2.808,1.369,2.05,2.32,0.193,19-Oct
AFC-50-1-F1,12/6/2016,137.31,2.746,1.325,2.07,1.62,0.221,18-Oct
AFC-25-4-F1,12/6/2016,123.6,2.472,1.202,2.06,18,-0.05,06-Dec
AFC-13-2-F1,12/6/2016,116.73,2.335,1.151,2.03,1.29,0.457,19-Oct
AFC-13-3-F1,12/6/2016,111.64,2.233,1.117,2,1.48,0.401,19-Oct
AFC-1-3-F1,12/6/2016,100.8,2.016,0.974,2.07,1.78,0.162,19-Oct
AFC-68-2-F1,12/6/2016,100.14,2.003,1.009,1.99,1.39,0.278,18-Oct
AFC-25-3-F1,12/6/2016,92.25,1.845,0.922,2,-16.8,-0.034,06-Dec
AFC-25-3-F1,12/6/2016,90.53,1.811,0.951,1.9,-17.67,-0.04,06-Dec
AFC-68-2-F1,12/6/2016,90.23,1.805,0.915,1.97,1.61,0.149,18-Oct
AFC-51-2-F1,12/6/2016,86.93,1.739,0.794,2.19,2.46,-0.004,19-Oct
AFC-71-1-F1,12/6/2016,72.19,1.444,0.741,1.95,1.86,0.101,18-Oct
AFC-63-3-F1,12/6/2016,66.41,1.328,0.701,1.89,-16.85,0.305,06-Dec
AFC-15-2-F1,12/6/2016,60.36,1.207,0.569,2.12,2.12,0.054,19-Oct
AFC-63-3-F1,12/6/2016,54.42,1.088,0.551,1.98,-3.21,-0.016,06-Dec
AFC-1-2-F1,12/6/2016,47.01,0.94,0.477,1.97,1.89,0.071,19-Oct
AFC-18-2-F1,12/6/2016,46.99,0.94,0.458,2.05,2.12,0.06,19-Oct
AFC-5-3-F1,12/6/2016,46.93,0.939,0.45,2.08,2.3,-0.004,19-Oct
AFC-51-4-F1,12/6/2016,37.56,0.751,0.347,2.17,-1.81,0.015,06-Dec
AFC-25-2-F1,12/6/2016,37.35,0.747,0.349,2.14,2.26,0.018,19-Oct
AFC-3-2-F1,12/6/2016,26.56,0.531,0.247,2.15,1.63,0.034,19-Oct
AFC-68-1-F1,12/6/2016,3.01,0.06,0.015,3.92,1.36,-0.021,28-Sep
AFC-68-1-F1,12/6/2016,2.74,0.055,0.023,2.41,1.3,-0.047,28-Sep
