population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,approx_ng,ul for 500 ng,max?,ul water for 50 ul,approx_final_conc,approx_vol_100
FL,14,L,FL-L7,277.57,372,2,37.2,744,13.44086022,no,36.55913978,10,10
AFC,28,F1,AFC-28-2-F1,253.92,373,2,37.3,746,13.40482574,no,36.59517426,10,10
MC,1,F,MC_F1_F1_feb21,419.7,374,2,37.4,748,13.36898396,no,36.63101604,10,10
MC,9,L,MC_F1_L9-1,241.05,375,2,37.5,750,13.33333333,no,36.66666667,10,10
AFC,7,F1,AFC-7-4-F1,561.51,386,2,38.6,772,12.95336788,no,37.04663212,10,10
VY,VY,L,VY-L3,407.34,386,2,38.6,772,12.95336788,no,37.04663212,10,10
MV,225,L,MV-L7,365.22,387,2,38.7,774,12.91989664,no,37.08010336,10,10
MC,14,F1,MC-14-1-F1,449.74,389,2,38.9,778,12.85347044,no,37.14652956,10,10
AFC,47,F1,AFC-47-2-F1,392.24,397,2,39.7,794,12.59445844,no,37.40554156,10,10
AFC,30,L,AFC-L30-1,332.11,397,2,39.7,794,12.59445844,no,37.40554156,10,10
AFC,60,L,AFC-L60-2,363.86,398,2,39.8,796,12.56281407,no,37.43718593,10,10
MC,13,L,MC-L13-4,305.8,398,2,39.8,796,12.56281407,no,37.43718593,10,10
AFC,30,L,AFC-L30-4,201.36,403,2,40.3,806,12.40694789,no,37.59305211,10,10
AFC,2,F1,AFC-2-2-F1,819.29,408,2,40.8,816,12.25490196,no,37.74509804,10,10
AFC,64,F1,AFC-64-3-F1,528.07,409,2,40.9,818,12.22493888,no,37.77506112,10,10
AFC,60,L,AFC-L60-3,665.18,409,2,40.9,818,12.22493888,no,37.77506112,10,10
AFC,66,F1,AFC-66-3-F1,355.52,411,2,41.1,822,12.16545012,no,37.83454988,10,10
MC,25,F,MC_F1_F25,563.88,411,2,41.1,822,12.16545012,no,37.83454988,10,10
AFC,30,F1,AFC-30-4-F1,400.33,416,2,41.6,832,12.01923077,no,37.98076923,10,10
AFC,47,F1,AFC-47-3-F1,485.73,424,2,42.4,848,11.79245283,no,38.20754717,10,10
AFC,59,F1,AFC-59-1-F1,332.49,425,2,42.5,850,11.76470588,no,38.23529412,10,10
MC,23,F,MC_F1_F23,507.99,426,2,42.6,852,11.7370892,no,38.2629108,10,10
MC,13,L,MC-L13-1,262.19,427,2,42.7,854,11.70960187,no,38.29039813,10,10
AFC,28,F1,AFC-28-3-F1,388.14,428,2,42.8,856,11.68224299,no,38.31775701,10,10
AFC,55,F1,AFC-55-4-F1,312.26,431,2,43.1,862,11.60092807,no,38.39907193,10,10
AFC,51,F1,AFC-51-3-F1,333.82,433,2,43.3,866,11.54734411,no,38.45265589,10,10
AFC,57,L,AFC-L57-4,341.77,434,2,43.4,868,11.52073733,no,38.47926267,10,10
AFC,46,F1,AFC-46-2-F1,NA,436,2,43.6,872,11.46788991,no,38.53211009,10,10
MC,15,L,MC-L15-3,376.11,436,2,43.6,872,11.46788991,no,38.53211009,10,10
AFC,63,F1,AFC-63-4-F1,437.67,439,2,43.9,878,11.38952164,no,38.61047836,10,10
MC,15,L,MC-L15-1,280.61,440,2,44,880,11.36363636,no,38.63636364,10,10
MC,14,L,MC-L14-1,393.02,452,2,45.2,904,11.0619469,no,38.9380531,10,10
AFC,19,L,AFC_F1_L19-4,295,453,2,45.3,906,11.03752759,no,38.96247241,10,10
MC,22,F,MC_F1_F22,466.17,454,2,45.4,908,11.01321586,no,38.98678414,10,10
AFC,14,F1,AFC-14-2-F1,461.17,455,2,45.5,910,10.98901099,no,39.01098901,10,10
AFC,19,L,AFC_F1_L19-2,355.62,458,2,45.8,916,10.91703057,no,39.08296943,10,10
AFC,57,L,AFC-L57-1,382.01,458,2,45.8,916,10.91703057,no,39.08296943,10,10
MC,9,F,MC_F9_F1_feb21,314.64,460,2,46,920,10.86956522,no,39.13043478,10,10
AFC,60,F1,AFC-60-4-F1,403.75,461,2,46.1,922,10.84598698,no,39.15401302,10,10
AFC,24,L,AFC_F1_L24-3,172.61,462,2,46.2,924,10.82251082,no,39.17748918,10,10
MC,8,F,MC_F8_F1_feb21,535.83,463,2,46.3,926,10.79913607,no,39.20086393,10,10
MC,14,L,MC-L14-3,434.06,470,2,47,940,10.63829787,no,39.36170213,10,10
AFC,57,F1,AFC-57-1-F1,570.06,472,2,47.2,944,10.59322034,no,39.40677966,10,10
AFC,55,F1,AFC-55-3-F1,356.865,237,1,47.4,948,10.54852321,no,39.45147679,10,10
MC,6,L,MC-L6-4,NA,474,2,47.4,948,10.54852321,no,39.45147679,10,10
AFC,54,F1,AFC-54-2-F1,461.4,475,2,47.5,950,10.52631579,no,39.47368421,10,10
AFC,46,F1,AFC-46-1-F1,396.48,483,2,48.3,966,10.35196687,no,39.64803313,10,10
MC,4,F,MC_F4_F1_feb21,508.28,483,2,48.3,966,10.35196687,no,39.64803313,10,10
AFC,42,F1,AFC-42-4-F1,474.43,490,2,49,980,10.20408163,no,39.79591837,10,10
MC,14,F,MC_F14_F1_feb21,517.58,490,2,49,980,10.20408163,no,39.79591837,10,10
AFC,50,F1,AFC-50-3-F1,325.39,491,2,49.1,982,10.18329939,no,39.81670061,10,10
AFC,56,F1,AFC-56-4-F1,394.55,493,2,49.3,986,10.14198783,no,39.85801217,10,10
AFC,54,F1,AFC-54-3-F1,482.55,497,2,49.7,994,10.06036217,no,39.93963783,10,10
AFC,42,F1,AFC-42-3-F1,418.49,500,2,50,1000,10,no,40,10,10
MC,14,F1,MC-14-4-F1,360.25,257,1,51.4,1028,9.727626459,no,40.27237354,10,10
AFC,57,F1,AFC-57-3-F1,550.15,520,2,52,1040,9.615384615,no,40.38461538,10,10
AFC,24,L,AFC_F1_L24-1,185.42,530,2,53,1060,9.433962264,no,40.56603774,10,10
MC,6,F1,MC_F1_6-3,NA,530,2,53,1060,9.433962264,no,40.56603774,10,10
AFC,71,F1,AFC-71-2-F1,532.01,270,1,54,1080,9.259259259,no,40.74074074,10,10
MC,13,F,MC_F13_F1_feb21,481.76,540,2,54,1080,9.259259259,no,40.74074074,10,10
MC,9,F1,MC_F1_9-1,578.58,540,2,54,1080,9.259259259,no,40.74074074,10,10
AFC,14,F1,AFC-14-1-F1,626.38,550,2,55,1100,9.090909091,no,40.90909091,10,10
AFC,48,F1,AFC-48-4-F1,556.78,580,2,58,1160,8.620689655,no,41.37931034,10,10
MC,2,F,MC_F2_F1_feb21,524.84,580,2,58,1160,8.620689655,no,41.37931034,10,10
AFC,50,F1,AFC-50-4-F1,503.08,590,2,59,1180,8.474576271,no,41.52542373,10,10
AFC,70,F1,AFC-70-2-F1,629.79,NA,1,59.7,1194,8.37520938,no,41.62479062,10,10
AFC,71,F1,AFC-71-3-F1,550.46,NA,1,67.1,1342,7.451564829,no,42.54843517,10,10
AFC,70,F1,AFC-70-3-F1,723.88,NA,1,79.3,1586,6.30517024,no,43.69482976,10,10
